professional_area_id;professional_area_description
1;Agricultura / ganadería
2;Administración pública y defensa
3;Alojamiento y restaurantes
4;Comercio
5;Construcción
6;Electricidad, gas y agua
7;Extracción de petróleo, gas, minerales y servicios conexos
8;Manufactura
9;Pesca y acuicultura
10;Telecomunicaciones y otros servicios de información
11;Transporte, almacenamiento, correo y mensajería
12;Educación
13;Publicidad/Marketing
15;Consultoría
15;Sector público
16;Tecnología e Informática
17;Otro
