Brasil;Peru;Bolívia;Valor Usado
Pardo;Mestiza;Mestizo(a);Mestizo(a)
Negro (Preta);Negra / Afroperuano;Negro(a) / afroboliviano(a);Negro(a)
Branca;Blanca;Blanco(a);Blanco(a)
Amarela;Oriental;Oriental / asiático;Oriental / asiático
Indígena;Indígena;Indígena;Indígena
Não sabe;No sabe;No sabe;No sabe
Não responde;No contesta;No contesta;No contesta
Outro(a), Outra;Otra;Otro;Otro
;De la Amazonia;De la amazonía;Indígena
;;Aymara;Indígena
;;Quechua;Indígena
;Zamba;Zambo(a);Mestizo(a)
;Mulata;Mulato(a);Mestizo(a)
